Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01001866,Hammersmith and Fulham 012A,91,188,105,133,123
E01001867,Hammersmith and Fulham 012B,24,40,39,35,30
E01001868,Hammersmith and Fulham 012C,22,22,25,27,24
E01001869,Hammersmith and Fulham 010D,64,59,63,48,62
E01001870,Hammersmith and Fulham 012D,56,52,44,53,46
E01001871,Hammersmith and Fulham 012E,53,62,53,60,63
E01001872,Hammersmith and Fulham 012F,28,32,34,61,41
E01001873,Hammersmith and Fulham 010E,37,56,52,53,37
E01001874,Hammersmith and Fulham 001A,230,252,298,171,195
E01001875,Hammersmith and Fulham 001B,74,46,74,64,56
E01001876,Hammersmith and Fulham 001C,170,171,153,134,130
E01001877,Hammersmith and Fulham 001D,49,47,93,74,66
E01001878,Hammersmith and Fulham 001E,25,33,15,28,15
E01001879,Hammersmith and Fulham 019A,44,61,30,59,47
E01001880,Hammersmith and Fulham 017A,88,118,111,82,81
E01001881,Hammersmith and Fulham 017B,231,167,190,210,152
E01001882,Hammersmith and Fulham 017C,44,50,55,75,56
E01001883,Hammersmith and Fulham 017D,54,70,41,44,35
E01001884,Hammersmith and Fulham 017E,133,144,148,108,108
E01001885,Hammersmith and Fulham 015A,20,19,24,20,16
E01001886,Hammersmith and Fulham 016A,52,31,45,62,41
E01001887,Hammersmith and Fulham 016B,34,27,37,31,29
E01001888,Hammersmith and Fulham 018A,47,41,51,64,54
E01001889,Hammersmith and Fulham 014A,52,66,45,64,63
E01001890,Hammersmith and Fulham 016C,154,129,100,129,109
E01001891,Hammersmith and Fulham 018B,73,69,87,105,112
E01001892,Hammersmith and Fulham 016D,29,18,23,40,21
E01001893,Hammersmith and Fulham 013A,66,41,58,69,75
E01001894,Hammersmith and Fulham 013B,176,192,153,207,147
E01001895,Hammersmith and Fulham 009A,55,53,68,51,49
E01001896,Hammersmith and Fulham 009B,35,44,62,60,47
E01001897,Hammersmith and Fulham 009C,37,65,54,63,43
E01001898,Hammersmith and Fulham 013C,492,426,403,480,473
E01001899,Hammersmith and Fulham 013D,540,629,506,411,454
E01001900,Hammersmith and Fulham 013E,139,124,166,226,137
E01001901,Hammersmith and Fulham 019B,40,54,52,57,39
E01001902,Hammersmith and Fulham 019C,46,42,57,58,47
E01001903,Hammersmith and Fulham 019D,42,56,51,71,35
E01001904,Hammersmith and Fulham 022A,46,56,58,45,42
E01001905,Hammersmith and Fulham 022B,42,68,51,57,56
E01001906,Hammersmith and Fulham 022C,35,59,46,57,40
E01001907,Hammersmith and Fulham 022D,32,46,41,45,38
E01001908,Hammersmith and Fulham 015B,41,62,46,69,57
E01001909,Hammersmith and Fulham 015C,55,60,47,64,54
E01001910,Hammersmith and Fulham 014B,49,45,34,46,48
E01001911,Hammersmith and Fulham 015D,29,25,30,43,36
E01001912,Hammersmith and Fulham 015E,43,44,40,48,26
E01001913,Hammersmith and Fulham 014C,58,73,87,101,84
E01001914,Hammersmith and Fulham 014D,76,64,69,107,69
E01001915,Hammersmith and Fulham 024A,95,94,84,118,98
E01001916,Hammersmith and Fulham 024B,56,41,47,60,49
E01001917,Hammersmith and Fulham 018C,72,60,39,51,44
E01001918,Hammersmith and Fulham 018D,42,44,41,60,45
E01001919,Hammersmith and Fulham 018E,55,58,46,45,54
E01001920,Hammersmith and Fulham 020A,162,181,223,233,194
E01001921,Hammersmith and Fulham 020B,68,110,79,93,82
E01001922,Hammersmith and Fulham 020C,86,111,100,151,104
E01001923,Hammersmith and Fulham 020D,56,86,55,107,69
E01001924,Hammersmith and Fulham 020E,46,51,71,53,61
E01001925,Hammersmith and Fulham 025A,94,91,72,104,89
E01001926,Hammersmith and Fulham 024C,51,71,51,61,54
E01001927,Hammersmith and Fulham 008C,28,31,38,55,57
E01001928,Hammersmith and Fulham 011A,86,74,93,95,64
E01001929,Hammersmith and Fulham 009D,45,59,52,62,33
E01001930,Hammersmith and Fulham 008D,52,58,56,64,56
E01001931,Hammersmith and Fulham 011B,54,48,48,36,46
E01001932,Hammersmith and Fulham 011C,250,210,172,263,208
E01001933,Hammersmith and Fulham 011D,102,119,78,106,111
E01001934,Hammersmith and Fulham 025B,30,23,31,40,49
E01001935,Hammersmith and Fulham 023A,49,46,46,74,50
E01001936,Hammersmith and Fulham 023B,61,87,91,119,80
E01001937,Hammersmith and Fulham 025C,65,77,79,58,61
E01001938,Hammersmith and Fulham 025D,50,52,48,61,71
E01001939,Hammersmith and Fulham 023C,70,69,63,99,84
E01001940,Hammersmith and Fulham 005B,51,55,46,50,51
E01001941,Hammersmith and Fulham 005C,307,417,387,375,342
E01001942,Hammersmith and Fulham 005D,59,63,61,72,69
E01001943,Hammersmith and Fulham 004A,403,1019,1495,1564,1721
E01001944,Hammersmith and Fulham 004B,34,23,31,29,30
E01001945,Hammersmith and Fulham 004C,46,68,56,55,61
E01001946,Hammersmith and Fulham 004D,42,40,54,41,51
E01001947,Hammersmith and Fulham 021A,20,23,29,21,21
E01001948,Hammersmith and Fulham 021B,92,121,101,92,109
E01001949,Hammersmith and Fulham 021C,48,53,50,43,44
E01001950,Hammersmith and Fulham 021D,61,78,60,95,85
E01001951,Hammersmith and Fulham 021E,74,83,83,88,82
E01001952,Hammersmith and Fulham 024D,53,60,48,67,93
E01001953,Hammersmith and Fulham 021F,206,260,192,203,242
E01001954,Hammersmith and Fulham 003A,48,54,48,67,55
E01001955,Hammersmith and Fulham 002A,37,47,51,30,23
E01001956,Hammersmith and Fulham 003B,31,27,35,59,48
E01001957,Hammersmith and Fulham 002B,20,31,18,34,20
E01001958,Hammersmith and Fulham 002C,26,17,20,20,14
E01001959,Hammersmith and Fulham 003C,27,26,51,45,36
E01001960,Hammersmith and Fulham 003D,49,58,86,55,61
E01001961,Hammersmith and Fulham 002D,15,20,30,28,32
E01001962,Haringey 004A,19,29,36,43,27
E01001963,Haringey 009A,71,61,60,81,50
E01001964,Haringey 009B,44,38,47,60,29
E01001965,Haringey 009C,30,27,33,44,27
E01001966,Haringey 009D,105,61,61,339,199
E01001967,Haringey 014A,31,26,25,51,46
E01001968,Haringey 014B,36,36,35,43,39
E01001969,Haringey 001A,38,50,46,57,37
E01001970,Haringey 004B,44,44,54,51,101
E01001971,Haringey 001B,30,41,44,47,52
E01001972,Haringey 004C,25,21,30,37,25
E01001973,Haringey 004D,89,122,134,94,142
E01001974,Haringey 001C,29,38,50,43,41
E01001975,Haringey 001D,46,64,78,65,54
E01001976,Haringey 011A,57,44,40,62,49
E01001977,Haringey 011B,48,40,33,65,25
E01001978,Haringey 011C,55,65,46,66,44
E01001979,Haringey 011D,148,113,104,125,121
E01001980,Haringey 018A,55,38,36,46,49
E01001981,Haringey 018B,39,37,27,35,30
E01001982,Haringey 018C,59,25,31,44,56
E01001983,Haringey 018D,44,49,34,47,50
E01001984,Haringey 033A,58,42,42,45,38
E01001985,Haringey 033B,79,62,47,41,41
E01001986,Haringey 034A,61,44,47,47,31
E01001987,Haringey 033C,62,65,48,42,31
E01001988,Haringey 034B,59,50,71,36,44
